2026-01-27 12:28:10,329 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-27 12:28:12,021 | INFO | INGESTION | save_data_minio.py | Creando Cliente Minio!
2026-01-27 12:28:12,026 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:28:12,066 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_01000.json Guardado Correctamente.
2026-01-27 12:28:12,066 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 1000)
2026-01-27 12:28:14,074 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:28:14,120 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_01000.json Guardado Correctamente.
2026-01-27 12:28:14,121 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 2000)
2026-01-27 12:28:15,988 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:28:16,022 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_01000.json Guardado Correctamente.
2026-01-27 12:28:16,022 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 3000)
2026-01-27 12:28:18,049 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:28:18,082 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_01000.json Guardado Correctamente.
2026-01-27 12:28:18,083 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 4000)
2026-01-27 12:28:19,869 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:28:19,911 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_01000.json Guardado Correctamente.
2026-01-27 12:28:19,912 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 5000)
2026-01-27 12:28:21,709 | INFO | INGESTION | save_data_minio.py | Bucket Encontrado Correctamente.
2026-01-27 12:28:21,746 | INFO | INGESTION | save_data_minio.py | bronze/cities/ingest_date=2026-01-01/cities_01000.json Guardado Correctamente.
2026-01-27 12:28:21,747 | INFO | INGESTION | extract_cities.py | Guardadas 1000 (Total: 6000)
2026-01-27 12:28:22,503 | INFO | INGESTION | extract_cities.py | No hay mas ciudades. Extraccion completada con 6000 ciudades.
2026-01-27 12:28:22,507 | INFO | INGESTION | extract_cities.py | ==================================================
2026-01-27 12:30:24,499 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
