2026-01-29 16:36:33,011 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-29 16:36:33,852 | ERROR | INGESTION | extract_cities.py | Error en la peticion de ciudades: 401: {"status":{"message":"Please add a username to each call in order for geonames to be able to identify the calling application and count the credits usage.","value":10}}
2026-01-29 16:42:02,829 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-29 16:42:03,464 | ERROR | INGESTION | extract_cities.py | Error en la peticion de ciudades: 401: {"status":{"message":"Please add a username to each call in order for geonames to be able to identify the calling application and count the credits usage.","value":10}}
2026-01-29 16:44:39,425 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-29 16:44:40,260 | ERROR | INGESTION | extract_cities.py | Error en la peticion de ciudades: 401: {"status":{"message":"Please add a username to each call in order for geonames to be able to identify the calling application and count the credits usage.","value":10}}
2026-01-29 16:45:24,171 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-29 16:45:24,961 | ERROR | INGESTION | extract_cities.py | Error en la peticion de ciudades: 401: {"status":{"message":"Please add a username to each call in order for geonames to be able to identify the calling application and count the credits usage.","value":10}}
2026-01-29 16:47:24,890 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-29 16:47:25,680 | ERROR | INGESTION | extract_cities.py | Error en la peticion de ciudades: 401: {"status":{"message":"Please add a username to each call in order for geonames to be able to identify the calling application and count the credits usage.","value":10}}
2026-01-29 17:19:16,426 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-29 17:19:17,288 | ERROR | INGESTION | extract_cities.py | Error en la peticion de ciudades: 401: {"status":{"message":"Please add a username to each call in order for geonames to be able to identify the calling application and count the credits usage.","value":10}}
2026-01-29 17:20:17,445 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-29 17:20:18,295 | ERROR | INGESTION | extract_cities.py | Error en la peticion de ciudades: 401: {"status":{"message":"Please add a username to each call in order for geonames to be able to identify the calling application and count the credits usage.","value":10}}
2026-01-29 17:23:12,062 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-29 17:23:12,851 | ERROR | INGESTION | extract_cities.py | Error en la peticion de ciudades: 401: {"status":{"message":"Please add a username to each call in order for geonames to be able to identify the calling application and count the credits usage.","value":10}}
2026-01-29 17:23:23,517 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-29 17:23:24,164 | ERROR | INGESTION | extract_cities.py | Error en la peticion de ciudades: 401: {"status":{"message":"Please add a username to each call in order for geonames to be able to identify the calling application and count the credits usage.","value":10}}
2026-01-29 17:29:57,248 | INFO | INGESTION | extract_cities.py | Iniciando Extraccion de Ciudades.
2026-01-29 17:29:58,640 | ERROR | INGESTION | extract_cities.py | Error en la peticion de ciudades: 401: {"status":{"message":"Please add a username to each call in order for geonames to be able to identify the calling application and count the credits usage.","value":10}}
